"ID","question","correct_answer","model_output"
"1","what have lost their nuclei?","neutrophils","answer: erythrocytes"
"2","whose nuclei have been lost?","neutrophils","answer: cells"
"3","are two small pulmonary arterioles packed with laminated swirls of fetal squamous cells?","yes","answer: yes"
"4","what is acute viral hepatitis characterized by?","predominantly lymphocytic infiltrate","answer: hepatocellular necrosis"
"5","what do the cells have?","wavy nuclei","answer: keratinized epithelium"
"6","do the cells have wavy nuclei?","yes","answer: yes"
"7","do individual myocardial fibres have wavy nuclei?","no","answer: yes"
"8","where is this area in the body?","abdomen","answer: liver"
"9","what does this image show?","peritoneal carcinomatosis","answer: necrotizing fasciitis"
"10","does this image show peritoneal carcinomatosis, metastatic tumor covering all of the abdominal viscera?","yes","answer: yes"
"11","where is this area in the body?","abdomen","answer: abdomen"
"12","what does this image show?","hemorrhage secondary to ruptured aneurysm","answer: intestinal perforation"
"13","does this image show hemorrhage secondary to ruptured aneurysm?","yes","answer: yes"
"14","does abdomen show hemorrhage secondary to ruptured aneurysm?","no","answer: yes"
"15","how is acute viral hepatitis characterized?","by predominantly lymphocytic infiltrate","answer: hepatocellular necrosis"
"16","what is present?","abdomen","answer: bowel perforation"
"17","is abdomen present?","yes","answer: yes"
"18","where is this area in the body?","abdomen","answer: liver"
"19","what is present?","abdomen","answer: intestinal perforation"
"20","why does this image show bowel in situ with diffuse thickening of peritoneal surfaces?","due to metastatic carcinoma breast primary i think","answer: peritonitis"
"21","what does this image show?","bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think","answer: enlarged spleen"
"22","how does this image show bowel in situ?","with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think","answer: bowel adenocarcinoma"
"23","does this image show bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think?","yes","answer: yes"
"24","what is present?","abdomen","answer: enlarged spleen"
"25","is abdomen present?","yes","answer: yes"
"26","is acute viral hepatitis characterize by a predominantly lymphocytic infiltrate?","yes","answer: yes"
"27","where is this area in the body?","abdomen","answer: liver"
"28","what is present?","abdomen","answer: enlarged lymph nodes"
"29","when does this image show a photo taken?","during life large lesion","answer: during surgery"
"30","what does this image show?","a photo taken during life large lesion","answer: omphalocele"
"31","does this image show a photo taken during life large lesion?","yes","answer: yes"
"32","does omphalocele show a photo taken during life large lesion?","no","answer: yes"
"33","what is present?","abdomen","answer: omphalocele"
"34","is abdomen present?","yes","answer: yes"
"35","what is present?","omphalocele","answer: omphalocele"
"36","is omphalocele present?","yes","answer: yes"
"37","is the entire thickness of the epithelium characterize by a predominantly lymphocytic infiltrate?","no","answer: yes"
"38","is omentum present?","no","answer: yes"
"39","where is this area in the body?","abdomen","answer: abdomen"
"40","what taken during life large lesion?","a photo","answer: kidney"
"41","what is a photo taken?","during life large lesion","answer: omphalocele"
"42","what is present?","abdomen","answer: omphalocele"
"43","what is present?","omphalocele","answer: omphalocele"
"44","how is a photo taken during life lesion?","large","answer: post-operative"
"45","what does this image show?","fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit","answer: gallbladder"
"46","does this image show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","yes","answer: yes"
"47","does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?","no","answer: yes"
"48","is schematic diagram of intimal thickening emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?","yes","answer: yes"
"49","what is present?","abdomen","answer: pancreas"
"50","is abdomen present?","yes","answer: yes"
"51","where is this area in the body?","abdomen","answer: stomach"
"52","what is present?","abdomen","answer: gallbladder"
"53","what does this image show?","close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary","answer: subcutaneous nodules"
"54","does this image show close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary?","yes","answer: yes"
"55","what is present?","abdomen","answer: necrosis"
"56","is abdomen present?","yes","answer: yes"
"57","what is present?","peritoneum","answer: skin lesions"
"58","is peritoneum present?","yes","answer: yes"
"59","did nuclear pleomorphism emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?","no","answer: yes"
"60","where is this area in the body?","abdomen","answer: muscle"
"61","what is present?","abdomen","answer: skin lesions"
"62","what is present?","peritoneum","answer: necrosis"
"63","does this image show opened abdomen with ischemic appearing intestines bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?","yes","answer: no"
"64","what is present?","abdomen","answer: prostatic adenocarcinoma"
"65","is abdomen present?","yes","answer: yes"
"66","is tuberculous peritonitis present?","no","answer: yes"
"67","what is present?","peritoneum","answer: scrotal edema"
"68","is peritoneum present?","yes","answer: yes"
"69","is an opened peritoneal cavity cause by fibrous band strangulation present?","no","answer: yes"
"70","what is moderately narrowed by this eccentric lesion?","the lumen","answer: aorta"
"71","where is this area in the body?","abdomen","answer: prostate"
"72","what bound by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma?","opened abdomen with ischemic appearing intestines","answer: no"
"73","what is opened abdomen with ischemic appearing intestines bound?","by neoplastic adhesions good but not the best ovarian papillary adenocarcinoma","answer: intestine"
"74","what is present?","abdomen","answer: prostate cancer"
"75","what is present?","peritoneum","answer: rectum"
"76","what does this image show?","a very close-up view of typical gross lesions","answer: skin graft"
"77","does this image show a very close-up view of typical gross lesions?","yes","answer: yes"
"78","what is present?","abdomen","answer: surgical scar"
"79","is abdomen present?","yes","answer: yes"
"80","is opened abdominal cavity with massive tumor in omentum none apparent in liver nor over peritoneal surfaces gut present?","no","answer: no"
"81","what is the lumen narrowed by?","eccentric lesion","answer: thrombosis"
"82","what is present?","peritoneum","answer: scar tissue"
"83","is peritoneum present?","yes","answer: yes"
"84","is tuberculosis present?","no","answer: yes"
"85","what is present?","tuberculous peritonitis","answer: scar tissue"
"86","is tuberculous peritonitis present?","yes","answer: yes"
"87","where is this area in the body?","abdomen","answer: skin"
"88","what is present?","abdomen","answer: scar tissue"
"89","what is present?","peritoneum","answer: scarring"
"90","what is present?","tuberculous peritonitis","answer: scar tissue"
"91","what does this image show?","massive node enlargement like a lymphoma","answer: esophageal cancer"
"92","is the lumen moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?","yes","answer: yes"
"93","does this image show massive node enlargement like a lymphoma?","yes","answer: yes"
"94","does abdomen show massive node enlargement like a lymphoma?","no","answer: yes"
"95","what is present?","abdomen","answer: sigmoid colon"
"96","is abdomen present?","yes","answer: yes"
"97","is tuberculous peritonitis present?","no","answer: yes"
"98","what is present?","mesentery","answer: colon adenocarcinoma"
"99","is mesentery present?","yes","answer: yes"
"100","is carcinomatosis present?","no","answer: yes"
"101","what is present?","acute lymphocytic leukemia","answer: large mass"
"102","is acute lymphocytic leukemia present?","yes","answer: yes"
"103","are skin stem cells moderately narrowed by this eccentric lesion, which leaves part of the vessel wall unaffected?","no","answer: yes"
"104","is fat necrosis present?","no","answer: yes"
"105","where is this area in the body?","abdomen","answer: colon"
"106","what is present?","abdomen","answer: colon adenocarcinoma"
"107","what is present?","mesentery","answer: colorectal adenocarcinoma"
"108","what is present?","acute lymphocytic leukemia","answer: colon adenocarcinoma"
"109","does this image show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?","yes","answer: yes"
"110","does leiomyosarcoma show opened abdomen showing tumor everywhere this also could be peritoneal carcinomatosis it looks the same?","no","answer: yes"
"111","what is present?","mesothelioma","answer: necrosis"
"112","is mesothelioma present?","yes","answer: yes"
"113","is carcinomatosis present?","no","answer: yes"
"114","are the photomicrographs packed with laminated swirls of fetal squamous cells?","no","answer: yes"
"115","what are attenuated?","the internal and external elastic membranes","answer: arterioles"
"116","where is this area in the body?","abdomen","answer: spleen"
"117","what is present?","mesothelioma","answer: necrosis"
"118","what does this image show?","cut surface of lesion natural color typical appearance of a sarcoma fish flesh and yellow areas suggesting of liposarcoma which it was","answer: adrenal gland"
"119","what is present?","abdomen","answer: enlarged spleen"
"120","is abdomen present?","yes","answer: yes"
"121","what is present?","peritoneum","answer: enlarged adrenal gland"
"122","is peritoneum present?","yes","answer: yes"
"123","what is present?","retroperitoneal liposarcoma","answer: massive amyloidosis"
"124","is retroperitoneal liposarcoma present?","yes","answer: yes"
"125","where is this area in the body?","abdomen","answer: spleen"
"126","are the internal and external elastic membranes attenuated?","yes","answer: yes"
"127","what is present?","abdomen","answer: thyroid"
"128","what is present?","peritoneum","answer: thyroid"
"129","what is present?","retroperitoneal liposarcoma","answer: adrenal gland"
"130","what does this image show?","opened body cavity with necrotic bowel and heavy fibrin exudate","answer: intestinal perforation"
