ID,question,correct_answer,model_output
1,what have lost their nuclei?,neutrophils,the majority of the cells
2,whose nuclei have been lost?,neutrophils,the majority of the neurons
3,are two small pulmonary arterioles packed with laminated swirls of fetal squamous cells?,yes,yes
4,what is acute viral hepatitis characterized by?,predominantly lymphocytic infiltrate,massive cellular infiltrate of lymphocytes and neutrophils
5,what do the cells have?,wavy nuclei,irregular contours
6,do the cells have wavy nuclei?,yes,yes
7,do individual myocardial fibres have wavy nuclei?,no,no
8,where is this area in the body?,abdomen,abdomen
9,what does this image show?,peritoneal carcinomatosis,large mass in peritoneal cavity
10,"does this image show peritoneal carcinomatosis, metastatic tumor covering all of the abdominal viscera?",yes,yes
11,where is this area in the body?,abdomen,abdomen
12,what does this image show?,hemorrhage secondary to ruptured aneurysm,liver
13,does this image show hemorrhage secondary to ruptured aneurysm?,yes,yes
14,does abdomen show hemorrhage secondary to ruptured aneurysm?,no,no
15,how is acute viral hepatitis characterized?,by predominantly lymphocytic infiltrate,by diffuse infiltration of the liver by lymphocytes and the presence of a distinctive pattern of portal tract expansion by reactive hepatocytes and lymphocytes
16,what is present?,abdomen,abdomen
17,is abdomen present?,yes,yes
18,where is this area in the body?,abdomen,abdomen
19,what is present?,abdomen,abdomen
20,why does this image show bowel in situ with diffuse thickening of peritoneal surfaces?,due to metastatic carcinoma breast primary i think,due to tuberculous peritonitis
21,what does this image show?,bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,stomach
22,how does this image show bowel in situ?,with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,with obvious metastatic lesions
23,does this image show bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think?,yes,yes
24,what is present?,abdomen,abdomen
25,is abdomen present?,yes,yes
26,is acute viral hepatitis characterize by a predominantly lymphocytic infiltrate?,yes,yes
27,where is this area in the body?,abdomen,abdomen
28,what is present?,abdomen,abdomen
29,when does this image show a photo taken?,during life large lesion,after autopsy
30,what does this image show?,a photo taken during life large lesion,view of face with open mouth and jaw
31,does this image show a photo taken during life large lesion?,yes,yes
32,does omphalocele show a photo taken during life large lesion?,no,no
33,what is present?,abdomen,lymphangiomatosis
34,is abdomen present?,yes,yes
35,what is present?,omphalocele,lymphangiomatosis
36,is omphalocele present?,yes,yes
37,is the entire thickness of the epithelium characterize by a predominantly lymphocytic infiltrate?,no,yes
38,is omentum present?,no,yes
39,where is this area in the body?,abdomen,abdomen
40,what taken during life large lesion?,a photo,no
41,what is a photo taken?,during life large lesion,before cord was cut
42,what is present?,abdomen,lymphangiomatosis
43,what is present?,omphalocele,lymphangiomatosis
44,how is a photo taken during life lesion?,large,before
45,what does this image show?,fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit,close-up of cut surface of both lobes
46,does this image show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,yes,yes
47,does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,no,no
48,is schematic diagram of intimal thickening emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,yes,no
49,what is present?,abdomen,abdomen
50,is abdomen present?,yes,yes
51,where is this area in the body?,abdomen,abdomen
52,what is present?,abdomen,abdomen
53,what does this image show?,close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary,close-up of lesion
54,does this image show close-up view of metastatic lesions color not the best papillary serous adenocarcinoma of ovary?,yes,yes
55,what is present?,abdomen,thymus
56,is abdomen present?,yes,yes
57,what is present?,peritoneum,thymus
58,is peritoneum present?,yes,no
59,did nuclear pleomorphism emphasize intimal smooth muscle cell migration and proliferation associated with extracellular matrix synthesis?,no,no
60,where is this area in the body?,abdomen,abdomen
61,what is present?,abdomen,thymus
