ID,augmentation,question_orig,question_augmented,correct_answer,model_output
1,char_swap,what have lost their nuclei?,['hwat have lost their unclei?'],neutrophils,their nuclei
2,char_swap,whose nuclei have been lost?,['whose unclei hvae been lost?'],neutrophils,the other neuron
3,char_swap,are two small pulmonary arterioles packed with laminated swirls of fetal squamous cells?,['are two small pulmonayr arteriolse pakced wtih laminated swirls of fteal squamous cells?'],yes,yes
4,char_swap,what is acute viral hepatitis characterized by?,['what is acute viarl heaptitis characteriezd by?'],predominantly lymphocytic infiltrate,massive necrosis of hepatocytes
5,char_swap,what do the cells have?,['waht do the eclls have?'],wavy nuclei,irregular contours
6,char_swap,do the cells have wavy nuclei?,['do the eclls haev wavy unclei?'],yes,yes
7,char_swap,do individual myocardial fibres have wavy nuclei?,['do individual myocardail firbes have wavy unclei?'],no,no
8,char_swap,where is this area in the body?,['hwere is thsi area in the boyd?'],abdomen,abdomen
9,char_swap,what does this image show?,['what does this miage shwo?'],peritoneal carcinomatosis,abdominal cavity
10,char_swap,"does this image show peritoneal carcinomatosis, metastatic tumor covering all of the abdominal viscera?","['does tihs imaeg show preitoneal carcinomaotsis, metastatic tumor covering all of the abdominal viscrea?']",yes,yes
11,char_swap,where is this area in the body?,['wheer is htis aera in the body?'],abdomen,abdomen
12,char_swap,what does this image show?,['what does this iamge sohw?'],hemorrhage secondary to ruptured aneurysm,shows close-up of liver
13,char_swap,does this image show hemorrhage secondary to ruptured aneurysm?,['does this image sohw hemorrhage secondary to rupturde aneursym?'],yes,yes
14,char_swap,does abdomen show hemorrhage secondary to ruptured aneurysm?,['odes abdomen show hemorrhage secondary to rupturde aneruysm?'],no,no
15,char_swap,how is acute viral hepatitis characterized?,['how is acuet virla hepatitis characteriezd?'],by predominantly lymphocytic infiltrate,by a marked increase in the number of hepatocytes
16,char_swap,what is present?,['whta is persent?'],abdomen,abdomen
17,char_swap,is abdomen present?,['is abodmen rpesent?'],yes,no
18,char_swap,where is this area in the body?,['wehre is htis arae in the body?'],abdomen,abdomen
19,char_swap,what is present?,['hwat is presnet?'],abdomen,liver
20,char_swap,why does this image show bowel in situ with diffuse thickening of peritoneal surfaces?,['why deos this image show obwel in situ with diffues thickenign of peritnoeal surfaces?'],due to metastatic carcinoma breast primary i think,because
