ID,question,correct_answer,model_output
1,what have lost their nuclei?,neutrophils,red cells
2,whose nuclei have been lost?,neutrophils,red cells
3,are two small pulmonary arterioles packed with laminated swirls of fetal squamous cells?,yes,yes
4,what is acute viral hepatitis characterized by?,predominantly lymphocytic infiltrate,lymphocytic infiltration
5,what do the cells have?,wavy nuclei,nuclei
6,do the cells have wavy nuclei?,yes,yes
7,do individual myocardial fibres have wavy nuclei?,no,yes
8,where is this area in the body?,abdomen,liver
9,what does this image show?,peritoneal carcinomatosis,a large irregular mass
10,"does this image show peritoneal carcinomatosis, metastatic tumor covering all of the abdominal viscera?",yes,yes
11,where is this area in the body?,abdomen,chest wall
12,what does this image show?,hemorrhage secondary to ruptured aneurysm,abdominal organs with hemorrhage
13,does this image show hemorrhage secondary to ruptured aneurysm?,yes,yes
14,does abdomen show hemorrhage secondary to ruptured aneurysm?,no,yes
15,how is acute viral hepatitis characterized?,by predominantly lymphocytic infiltrate,inflammatory cells present
16,what is present?,abdomen,"liver
gallbladder
intestine
blood vessels
dark discoloration"
17,is abdomen present?,yes,yes
18,where is this area in the body?,abdomen,abdomen
19,what is present?,abdomen,"liver
gallbladder
intestine
blood vessels
dark discoloration"
20,why does this image show bowel in situ with diffuse thickening of peritoneal surfaces?,due to metastatic carcinoma breast primary i think,bowel in situ diffuse peritoneal thickening
21,what does this image show?,bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,kidneys
22,how does this image show bowel in situ?,with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think,Intestinal segments are visible.
23,does this image show bowel in situ with diffuse thickening of peritoneal surfaces due to metastatic carcinoma breast primary i think?,yes,no
24,what is present?,abdomen,red tissue
25,is abdomen present?,yes,yes
26,is acute viral hepatitis characterize by a predominantly lymphocytic infiltrate?,yes,yes
27,where is this area in the body?,abdomen,kidneys
28,what is present?,abdomen,red tissue
29,when does this image show a photo taken?,during life large lesion,postnatal period
30,what does this image show?,a photo taken during life large lesion,bilateral renal agenesis
31,does this image show a photo taken during life large lesion?,yes,yes
32,does omphalocele show a photo taken during life large lesion?,no,yes
33,what is present?,abdomen,bilateral renal duplication
34,is abdomen present?,yes,yes
35,what is present?,omphalocele,bilateral renal duplication
36,is omphalocele present?,yes,yes
37,is the entire thickness of the epithelium characterize by a predominantly lymphocytic infiltrate?,no,yes
38,is omentum present?,no,no
39,where is this area in the body?,abdomen,kidney
40,what taken during life large lesion?,a photo,bilateral kidneys
41,what is a photo taken?,during life large lesion,congenital abdominal wall defect
42,what is present?,abdomen,bilateral renal duplication
43,what is present?,omphalocele,bilateral renal duplication
44,how is a photo taken during life lesion?,large,congenital abdominal wall defect
45,what does this image show?,fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit,tissue fragments
46,does this image show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,yes,fixed tissue appearance
47,does acute peritonitis show fixed tissue typical appearance of tuberculous peritonitis except for color being off a bit?,no,fixed tissue
