"ID","model","question","correct_answer","model_output"
"1","checkpoint-1000","where does this belong to?","endocrine system","urinary bladder"
"2","checkpoint-1000","does malignant adenoma show keratoacanthoma?","no","yes"
"3","checkpoint-1000","what is present?","cardiovascular","fibrosis"
"4","checkpoint-1000","is kidney present?","yes","no"
"5","checkpoint-1000","what does the granulomatous response take the form of?","a three-dimensional sphere","lymphocytic"
"6","checkpoint-1000","what is present?","gastrointestinal","cystic lesion"
"7","checkpoint-1000","is nervous present?","yes","yes"
"8","checkpoint-1000","what is present?","hematologic","granuloma"
"9","checkpoint-1000","does the wall of the stomach in the region of pyloric canal show thick wall coated internally by brownish, tan and necrotic material which is organised blood clot arrow?","no","yes"
"10","checkpoint-1000","what is present?","oral","lymphocytes"
"11","checkpoint-1000","is hepatobiliary present?","yes","no"
"12","checkpoint-1000","what is present?","spleen","cysticercus"
"13","checkpoint-1000","what are present?","extremities","papules"
"14","checkpoint-1000","does this image show lung, bronchopneumonia, bacterial?","yes","yes"
"15","checkpoint-1000","does this image adrenal both adrenals external views focal hemorrhages do not know history looks like placental abruption?","yes","yes"
"16","checkpoint-1000","does this image show child has polycystic disease?","yes","yes"
"17","checkpoint-1000","are both cytotrophoblastic cells with single central nuclei and syncytiotrophoblastic cells with multiple dark nuclei embedded in eosinophilic cytoplasm present?","yes","yes"
"18","checkpoint-1000","does rugal demonstrate an area of increased uptake corresponding to the left inferior parathyroid gland arrow?","no","yes"
"19","checkpoint-1000","what is present?","hepatobiliary","lymphoid nodular hyperplasia"
"20","checkpoint-1000","where is this?","urinary","esophagus"
"21","checkpoint-1000","is heel ulcer present?","no","no"
"22","checkpoint-1000","what has relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?","normal skeletal muscle tissue","cardiac muscle"
"23","checkpoint-1000","how are such lesions?","painless despite the presence of ulceration","infectious"
"24","checkpoint-1000","what does this image show?","normal uterus","pancreatic ductal adenocarcinoma"
"25","checkpoint-1000","where is this area in the body?","heart","esophagus"
"26","checkpoint-1000","is fracture present?","no","no"
"27","checkpoint-1000","what does this image show?","heart","ovary"
"28","checkpoint-1000","is electron micrographs demonstrating fiber present?","yes","yes"
"29","checkpoint-1000","is endothelial injury used for demonstration of microbes?","no","no"
"30","checkpoint-1000","is liver present?","yes","yes"
"31","checkpoint-1000","does neurofibroma show interlacing bundles of spindle-shaped cells separate by mucoid matrix?","yes","yes"
"32","checkpoint-1000","does polyarteritis nodosa show normal appendix?","no","no"
"33","checkpoint-1000","is polycystic disease infant present?","no","yes"
"34","checkpoint-1000","is one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?","yes","yes"
"35","checkpoint-1000","what is present?","endocrine","lymphocytic infiltrate"
"36","checkpoint-1000","does this image show 7yo with craniopharyngioma and underdeveloped penis?","yes","yes"
"37","checkpoint-1000","what is present?","cardiovascular","lymphocytes"
"38","checkpoint-1000","what is present?","vasculature","ovary"
"39","checkpoint-1000","what is present?","acute lymphocytic leukemia","cystic fibrosis"
"40","checkpoint-1000","is oral present?","yes","yes"
"41","checkpoint-1000","is spleen present?","yes","yes"
"42","checkpoint-1000","where is this?","urinary","lungs"
"43","checkpoint-1000","does mesothelioma show ductopenia?","no","yes"
